p,lambda,rho,avg_acc,avg_f1,avg_rate,avg_kll,avg_rkll,avg_rte,avg_fro,avg_spec,avg_l1
25,0.01,0.5,0.96,0.898989898989899,0.9,0.07551801634782684,0.07458688041740835,0.03289187759259121,935.1224630025204,359.8268512694076,501.7639481642766
25,0.01,1.0,0.9199999999999999,0.7301587301587302,0.6000000000000001,0.6344117235166351,0.6275459766331473,0.03573706126502574,2731.3025241041996,1094.789847800343,1540.3355820474212
25,0.01,2.0,0.96,0.875,0.8,1.661094788106075,1.7441743586813576,0.1341266813328883,4623.410806736243,1946.1448825157627,2742.7596362730374
25,0.05,0.5,0.98,0.9444444444444444,0.9,0.10661076757529919,0.10466049422659829,0.029332371909217947,1117.8316775695755,458.72392301534717,675.1609753487954
25,0.05,1.0,0.96,0.898989898989899,0.9,0.8324165116096598,0.8661763766401123,0.10911280192361622,3189.447544160502,1214.4171322248967,1979.5668775058703
25,0.05,2.0,0.92,0.7499999999999999,0.6,0.9408022740104602,0.8763953141350722,0.03302478582529117,3301.9865469732194,1274.6054112221657,1701.268429101337
25,0.1,0.5,0.98,0.9444444444444444,0.9,0.1929565515218119,0.19860557975241022,0.0515988282790622,1672.650055233666,711.4645916558895,991.9369454782353
25,0.1,1.0,0.98,0.9444444444444444,0.9,0.445525357525673,0.4456567114026697,0.08733254060595214,2229.3121319347506,1097.5545538256092,1445.7916943974928
25,0.1,2.0,0.92,0.7499999999999999,0.6,0.9763188410785322,1.04566518138674,0.10406360126070574,3591.8997324651973,1429.4180050350235,1962.826002013912
25,0.2,0.5,0.84,0.33333333333333337,0.2,0.580572904994451,0.607763358509283,0.06468396053463515,2735.980801810972,1166.2878046277644,1582.1691861887025
25,0.2,1.0,0.88,0.5714285714285715,0.4,0.8139968546346079,0.8237616763169893,0.09159781725023858,3104.607974721147,1192.077549465645,1911.1118520691073
25,0.2,2.0,0.84,0.33333333333333337,0.2,0.9749522929597791,0.9672730877942151,0.06838922717639667,3412.1651055137977,1305.2682473515242,1799.2723234615892
50,0.01,0.5,0.94,0.6969696969696968,0.7,0.13351004231852315,0.1323044660574375,0.006871820176755916,1239.1237516452338,428.641957224276,690.1714771877658
50,0.01,1.0,0.96,0.8290598290598291,0.9,0.14612776116143067,0.13873578522866126,0.011235404365069923,1170.4618002754635,290.5959824283648,436.8187574015
50,0.01,2.0,0.96,0.775,0.7,1.0162657023150565,1.0193489113280876,0.030793404736940255,3569.387108988889,1059.715264467592,1514.90462320496
50,0.05,0.5,0.97,0.8194444444444444,0.7,0.17710781278856302,0.18442022623313292,0.04772796656869632,1618.6781106277522,559.163886781072,751.6021287912308
50,0.05,1.0,0.98,0.875,0.8,0.10585009058442907,0.10708529275049727,0.033473357010851246,1317.2248448614123,434.4209508435803,545.8862479075984
50,0.05,2.0,0.99,0.9444444444444444,0.9,1.0985805977661407,1.1091523096891187,0.07375192377818895,3715.9298137103187,1225.2092272660238,1427.5443257774896
50,0.1,0.5,1.0,1.0,1.0,0.320085398598863,0.32043707584149317,0.04255836072538999,1913.0124458900168,616.709778192919,898.7373952451604
50,0.1,1.0,1.0,1.0,1.0,0.3222399057741754,0.3268106844837497,0.04059838326443527,2117.7246489498098,694.150305091387,891.3243013053739
50,0.1,2.0,0.98,0.898989898989899,0.9,1.427054243853938,1.3815018549495406,0.06891450564043533,4257.010253832652,1598.9942259676568,2032.5833185202378
50,0.2,0.5,0.98,0.875,0.8,0.8710053865898253,0.8396320884668036,0.02733392971830212,3216.4134139046178,953.5598066390728,1360.9445238286971
50,0.2,1.0,0.99,0.9444444444444444,0.9,0.7576367616744228,0.7556356171801397,0.05454716753925626,3172.5374787723704,1022.8241201336112,1518.4933091153184
50,0.2,2.0,0.95,0.6111111111111112,0.5,0.38535605840935716,0.37811576077753273,0.03555896058287056,2194.677676764126,811.602223497933,977.4373111137837
75,0.01,0.5,0.9933333333333334,0.9444444444444444,0.9,0.045629929829203775,0.04492140784453369,0.003072823783973666,723.7485340077011,181.30874560245377,224.2313424550842
75,0.01,1.0,0.9866666666666667,0.875,0.8,0.07393204965644173,0.07309847731904995,0.015064823340080857,1009.1560659880554,246.34224612498147,324.749299998426
75,0.01,2.0,0.98,0.8194444444444444,0.7,1.6204155407322887,1.6236716425844335,0.042776321189404054,4527.9065759111,1078.9895760633785,1397.842601954137
75,0.05,0.5,0.9866666666666667,0.875,0.8,0.07604677584468078,0.07491629444213999,0.012232591990910036,978.3659346415683,289.90368037684055,398.8307311199751
75,0.05,1.0,1.0,1.0,1.0,0.06990109365031572,0.07044958949288116,0.019940455800903922,1003.1033026743144,253.13086528449952,299.6696042185119
75,0.05,2.0,1.0,1.0,1.0,0.23332796136145362,0.24512857128068077,0.0477679469997363,1931.6032275471616,550.97576249085,677.2441814918099
75,0.1,0.5,0.98,0.8194444444444444,0.7,0.26517955837200446,0.2583645662208909,0.006534139976494713,1781.6858755428902,515.148675146617,734.4924584052576
75,0.1,1.0,0.9866666666666667,0.875,0.8,0.22125390576371728,0.21713350239959084,0.010120136161870352,1640.3778105628842,381.8373197011731,610.088570160183
75,0.1,2.0,0.9933333333333334,0.9444444444444444,0.9,0.1934378345362049,0.1896956686357001,0.012419220462721314,1345.2736214326158,317.0507127871013,454.4426388628084
75,0.2,0.5,0.9866666666666667,0.888888888888889,0.8,0.6309593316046787,0.6666483454004535,0.0506604210366689,2881.6313950142285,802.2177104735608,1056.1537035779477
